iter	Passed	Remaining
789	1666	442
790	1667	440
791	1669	438
792	1670	436
793	1672	433
794	1674	431
795	1675	429
796	1677	427
797	1679	425
798	1681	422
799	1682	420
800	1684	418
801	1686	416
802	1688	414
803	1690	412
804	1691	409
805	1693	407
806	1696	405
807	1697	403
808	1699	401
809	1701	399
810	1703	396
811	1704	394
812	1706	392
813	1708	390
814	1710	388
815	1712	386
816	1713	383
817	1715	381
818	1717	379
819	1719	377
820	1721	375
821	1723	373
822	1726	371
823	1727	369
824	1729	366
825	1731	364
826	1733	362
827	1735	360
828	1737	358
829	1739	356
830	1741	354
831	1743	352
832	1745	349
833	1747	347
834	1749	345
835	1751	343
836	1753	341
837	1755	339
838	1757	337
839	1758	335
840	1760	332
841	1762	330
842	1764	328
843	1766	326
844	1767	324
845	1769	322
846	1771	319
847	1773	317
848	1774	315
849	1776	313
850	1778	311
851	1779	309
852	1781	307
853	1783	304
854	1784	302
855	1786	300
856	1788	298
857	1789	296
858	1791	294
859	1793	291
860	1794	289
861	1796	287
862	1798	285
863	1799	283
864	1801	281
865	1803	279
866	1804	276
867	1806	274
868	1808	272
869	1810	270
870	1811	268
871	1813	266
872	1815	264
873	1817	261
874	1818	259
875	1820	257
876	1822	255
877	1824	253
878	1825	251
879	1827	249
880	1828	247
881	1830	244
882	1832	242
883	1833	240
884	1835	238
885	1837	236
886	1839	234
887	1840	232
888	1842	230
889	1844	227
890	1846	225
891	1847	223
892	1849	221
893	1850	219
894	1852	217
895	1854	215
896	1856	213
897	1857	211
898	1859	208
899	1861	206
900	1863	204
901	1864	202
902	1866	200
903	1868	198
904	1870	196
905	1872	194
906	1873	192
907	1876	190
908	1878	188
909	1880	185
910	1881	183
911	1883	181
912	1885	179
913	1887	177
914	1889	175
915	1890	173
916	1892	171
917	1894	169
918	1895	167
919	1898	165
920	1900	162
921	1901	160
922	1903	158
923	1905	156
924	1907	154
925	1909	152
926	1910	150
927	1912	148
928	1914	146
929	1916	144
930	1918	142
931	1920	140
932	1922	138
933	1924	136
934	1926	133
935	1928	131
936	1931	129
937	1933	127
938	1934	125
939	1936	123
940	1938	121
941	1940	119
942	1941	117
943	1943	115
944	1945	113
945	1947	111
946	1949	109
947	1951	107
948	1952	104
949	1954	102
950	1956	100
951	1957	98
952	1959	96
953	1961	94
954	1963	92
955	1964	90
956	1966	88
957	1968	86
958	1970	84
959	1971	82
960	1973	80
961	1975	78
962	1976	75
963	1978	73
964	1980	71
965	1981	69
966	1983	67
967	1984	65
968	1986	63
969	1988	61
970	1989	59
971	1991	57
972	1993	55
973	1994	53
974	1996	51
975	1998	49
976	2000	47
977	2001	45
978	2003	42
979	2005	40
980	2006	38
981	2008	36
982	2010	34
983	2011	32
984	2013	30
985	2014	28
986	2016	26
987	2017	24
988	2019	22
989	2021	20
